location,business_name,position,start_date,end_date,experience,wage,pay_frequency,tips,employment_type,benefits,gender,race,sexuality,notes
Portland,Case Study,Barista,2019,Current,3.5,,Hourly,20,FT,Free coffee,,,,
Portland,Maggie's (Lewis & Clark College Bon Appetit),Barista,2017,2019,0,13.1,Hourly,20,PT,free food and coffee,,,,
Portland,Water Avenue Coffee,Lead Barista,2016,2018,2,13,Hourly,20,FT,"Health insurance option, weekly bag of coffee, shift drink, 50% off food, origin trip (unpaid), sick time, yearly staff gathering, Christmas party. (P.S. daily tips were so low because they were split amongst everyone working that day, including the kitchen [who was also paid more starting than baristas that had been there a lot time]).",,,,
Portland,holiday moka,Shift Leader,2016,2017,0,12.5,Hourly,20,FT,"sick time, shift meal, free coffee",,,,
San Francisco,Klatch Coffee SF,Barista,2019,Current,0,16.5,Hourly,20,FT,Health & dental insurance ,,,,
San Francisco,Klatch Coffee SF,Shift Leader,2019,Current,0,18.5,Hourly,20,FT,Health & dental insurance ,,,,
San Francisco,Klatch Coffee SF,Assistant Manager,2019,Current,6,21.09,Hourly,20,FT,Health & dental insurance ,,,,
San Francisco,Subrosa Coffee,Shift Leader,2018,2019,4,14,Hourly,20,PT,None,,,,
San Francisco,Hive,Barista,12,Current,3,13.75,Hourly,20,FT,None,,,,
San Francisco,Verve Coffee Roasters,Trainer/Assistant Store Manager,2012,2017,5,12.59,Hourly,20,FT,None,,,,
Seattle,Stumptown Coffee,Barista,2018,Current,5,12.5,Hourly,20,FT,Health insurance,,,,
Seattle,Caffe D’arte ,Barista,2018,2019,3,12,Hourly,20,FT,Health insurance ,,,,
Seattle,Stumptown Coffee,Barista,2019,Current,11,12.5,Hourly,20,FT,"Health, vision, dental, 401k matched to 3%",,,,
Seattle,Subrosa Coffee,Barista,2019,Current,5,13.84,Hourly,20,PT,None,,,,
Seattle,Red Cup Cafe ,Barista,2015,,0,9,Hourly,20,FT,None,,,,
Seattle,Convoy coffee,Barista,2018,Current,0,14,Hourly,20,FT,None,,,,
Seattle,Buzzed Bear Coffee Co,Barista,2019,Current,14,12,Hourly,20,FT,Sick leave 1 day a year ,,,,
Seattle,Sugar Bakery,Barista,2019,2019,4,13,Hourly,20,PT,Unknown,,,,
"Washington, D.C.",Commonwealth Joe,Barista,2015,Current,,,Hourly,20,FT,"Health care, eventually ",,,,
"Washington, D.C.",Little Red Fox,Barista,2018,,,14.5,Hourly,20,FT,"healthcare, PTO, paid sick",,,,
Philadelphia,Batter and Crumbs,Barista,2019,Current,,10,Hourly,21,FT,None,,,,
Michigan,Sweetwaters,Assistant Manager,2019,Current,0,30000,Salary,22,FT,"$50/month health insurance stipend, 40 hours PTO per year",Female,Caucasian ,Bisexual,
Philadelphia,Old City Coffee,Barista,2019,Current,,13,Hourly,22,FT,"PTO, half pay health insurance, half pay SEPTA",,,,
San Francisco,Dana Street Roasting Company,Barista,2007,Current,0,15,Hourly,23,PT,,,,,
Chicago,Dollop,Store Manager,2019,Current,,13,Hourly,24,FT,Medical,,,,
Denver,Starbucks,Barista,2015,,0,14,Hourly,24,PT,yes,,,,
Philadelphia,Peet's Coffee,Shift Leader,2018,Current,,14.25,Hourly,24,FT,Full benefits,,,,
Seattle,indi Chocolate ,Shift Leader,2018,Current,0,14,Hourly,24,FT,None,,,,
Seattle,Slate Coffee Roasters,Barista,2018,2019,0,12,Hourly,24,FT,Orca Card,,,,
Seattle,Storyville Coffee Company,Barista,2017,Current,0,14.75,Hourly,24,FT,"PTO, Health, Vision, Dental, Life",,,,
"Washington, D.C.",Swing’s Coffee Roaster’s,Barista,No,Current,2,11,Hourly,24,PT,None,,,,
Boston,Coffee & Cotton,Barista,2016,,3,11,Hourly,25,FT,None,Non-binary / non-comforming ,,Bisexual,
Chicago,Intelligentsia,Barista,2018,2019,,13.65,Hourly,25,FT,Medical,,,,
Dallas Fort Worth,Pax and Beneficia ,Barista,2019,Current,4,12,Hourly,25,FT,None,,,,
Denver,Copper Door Coffee Roasters ,Barista,2019,Current,5,12,Hourly,25,PT,Free coffee only.,,,,
"Greenville, NC",Mississippi,Barista,2003,2011,,11,Hourly,25,,None,,,,
Michigan,Mighty Good Coffee,Barista,2018,2019,1,10.5,Hourly,25,FT,Health Insurance,,,,
Michigan,Ashe Supply Co.,Barista,2017,2018,9,9,Hourly,25,PT,None,,,,
Michigan,Atomic Coffee,Barista,2015,2015,5,10,Hourly,25,PT,None,,,,Harrassment from management
Michigan,Ferris Coffee & Nut,Barista,2017,2018,2,12.5,Hourly,25,PT,YMCA membership discount,Male,Caucasian ,Straight,
Michigan,Anthology Coffee,Barista,2019,Current,6,14,Hourly,25,PT,,Male,Caucasian ,Gay,
"New Haven, CT",Maison Mathis,Barista,2015,2017,,11,Hourly,25,PT,None,,,,
New York,Cafe Grumpy,Barista,2018,Current,8,13,Hourly,25,FT,None,Non-binary / non-comforming ,Caucasian ,Bisexual,
New York,East One Coffee,Barista,2019,Current,5,16,Hourly,25,FT,None,,,,
New York,Box Kite,Barista,2019,2019,8,14,Hourly,25,PT,None,,,,
Philadelphia,The Monkey and the Elephant,Shift Leader,2018,Current,,12,Hourly,25,PT,"40 PTO (mandated by state, nonprofit)",,,,
Philadelphia,Old City Coffee,Barista,2016,2018,,9.5,Hourly,25,PT,Health care,,,,
Philadelphia,Ashe Supply Co.,Barista,2017,2018,,9,Hourly,25,PT,None,,,,
Philadelphia,ICI Macarons & Cafe,Barista,2018,2019,,10,Hourly,25,FT,None,,,,
Philadelphia,Du Jour Cafe & Catering,Barista,2016,2019,,10,Hourly,25,PT,None,,,,
Philadelphia,Bodhi,Barista,2017,Current,,11,Hourly,25,PT,None,,,,
Philadelphia,Germantown Espresso Bar,Barista,2019,Current,,10,Hourly,25,PT,None,,,,
Philadelphia,One Shot,Barista,2013,2015,,7.75,Hourly,25,FT,None,,,,
Philadelphia,Old City Coffee,Barista,2019,Current,,9,Hourly,25,FT,PTO,,,,
Philadelphia,Good Karma,Barista,2014,2016,,8.5,Hourly,25,FT,,,,,
Portland,Madcap Coffee Company,Shift Leader,2016,Current,8,11,Hourly,25,FT,"40 hrs PTO,  Healthcare, free coffee, 35% off ",,,,
Portland,Two Stroke,Shift Leader,2017,Current,6,14.5,Hourly,25,FT,"Free coffee/food/pastries, merch discounts and sometimes free merch, paid sick time",,,,
Portland,Ristretto Roasters ,Manager,2013,2018,6,49000,Salary,25,FT,health and dental,,,,
Portland,Ristretto Roasters ,Trainer,2017,2019,5,15,Hourly,25,PT,"Health care @ full time, free drinks, weekly free coffee  ",,,,
Portland,Insomnia Coffee Company,Assistant Manager,2018,2020,$14,14.25,Hourly,25,FT,"PTO, Health care, Free Coffee",,Caucasian ,,
Portland,Coava Coffee Roasters,Barista,2017,Current,3,12.5,Hourly,25,FT,"PTO, health care, free coffee ",,,,
San Francisco,Voltaire,Barista,2018,Current,4,15,Hourly,25,PT,None,,,,
Seattle,Lift Bridge Coffee,Tech Master,2015,2017,0,13.25,Hourly,25,FT,Health insurance paid out of your own check. Time off.,,,,
Seattle,QED Coffee,Barista,2019,Current,3,14,Hourly,25,FT,None,,,,
Seattle,Joe Chocolate Co,Lead Barista,2018,Current,3,16,Hourly,25,FT,PTO,,,,
Seattle,Royal Drummer,Shift Leader,2015,,10,13.75,Hourly,25,FT,,,,,"I left because I needed a better, more regular wage and insurance"
"Washington, D.C.",Commonwealth Joe ,Barista,2018,Current,,10.66,Hourly,25,PT,"health insurance, pto",,,,
"Washington, D.C.",Little Red Fox,Barista,2015,Current,,16,Hourly,25,FT,None,,,LGBTQ+,
Michigan,Black Diesel Coffee,Barista,2018,2018,0,8.75,Hourly,28,PT,"Health insurance was offered, I don’t think anyone took it",,,,
Philadelphia,Ultimo,Barista,2017,2018,,10.75,Hourly,28,FT,"PTO after 90 days, no health",,,,
Michigan,Vertex,Barista,2019,Current,5,12,Hourly,28.5,PT,None,Non-binary / non-comforming ,Caucasian ,Queer,
Seattle,General Porpoise,Store Manager,2019,Current,5,40000,Salary,29,FT,"401k, PTO accrual, health and dental insurance, bonuses, wellness reimbursement, 50% off Sea Creatures partner restaurants ",,,,
Austin,Epoch Coffee,Shift Leader,2018,2019,4,13,Hourly,30,FT,"Dental, vision, 2 wks paid time off, paid maternity/paternity leave",,,,
Austin,Greater Goods,Shift Leader,2018,Current,3,12.5,Hourly,30,FT,"Health insurance, shift drinks/meal, discounted retail, access to educational programs offered",,,,
Chicago,Infuse Hospitality,Lead Barista,2016,Current,,15.3,Hourly,30,FT,Medical/PTO,,,,
Colorado Springs,Logan House Coffee Co,Shift Leader,2018,2019,4,14.5,Hourly,30,FT,50% off drinks and they paid half of our health insurance after 3 months. ,,,,
Dallas Fort Worth,Cultivar Coffee,Shift Leader,2016,2018,2,25000,Salary,30,FT,None,,,,
Dallas Fort Worth,Craftwork Coffee Co,Barista,2019,Current,10,,Hourly,30,FT,None,,,,
Dallas Fort Worth,Aura Coffee,Barista,2018,Current,4,10,Hourly,30,PT,"Paid Volunteer Hours, Workers Comp ",,,,
Denver,Logan House Coffee Co,Shift Leader,2018,2019,4,14.5,Hourly,30,FT,50% off coffee and paid for part of health insurance after 3 months of employment. ,,,,
Michigan,Mighty Good Coffee,Barista,2016,2019,10,12,Hourly,30,PT,None,,,,
Michigan,Vertex,Barista,2019,Current,2,12,Hourly,30,FT,None,,,,
Michigan,Astro,Barista,2019,Current,3,10.5,Hourly,30,PT,None,,,,
Michigan,Lemonjello's Coffee,Shift Leader,2016,2019,1,12,Hourly,30,FT,None,Female,Caucasian ,Straight,
Michigan,Mighty Good Coffee,Barista,2014,2017,1,13,Hourly,30,FT,Simple IRA Matching for staff of 1 year or more,Male,Caucasian ,Gay,
New York,Joe Coffee,Manager,2010,,4,,Hourly,30,FT,health insurance. at the time there was a discount based on years worked. for example They pay half if you've worked there over 4 years,,,,
New York,Brooklyn Roasting Company,Barista,2017,,7,13.5,Hourly,30,PT,None,Male,Hispanic or Latinx,Straight,
New York,Plowshares,Barista,2019,2019,1,15,Hourly,30,FT,None,,,,"No tip pool, rigged system, no management"
New York,Bakeri,Barista,2018,,0,0,Hourly,30,PT,None,Male,Hispanic or Latinx,Gay,Not only underpaid but no right to eat or take small breaks in 6 hour shifts. Not even if you came for the 6 am shift.
New York,Stonefruit Espresso + Kitchen,Barista,2019,Current,1,12,Hourly,30,PT,None,Non-binary / non-comforming ,,,
Philadelphia,Rival Brothers,Manager,2016,Current,,28500,Salary,30,FT,1 week PTO,,,,
Philadelphia,Old City Coffee,Barista,2015,2016,,9.5,Hourly,30,FT,Health care,,,,
Philadelphia,Old City Coffee,Barista,2019,Current,,8.25,Hourly,30,FT,Health care,,,,
Philadelphia,Old City Coffee,Manager,2016,2018,,14,Hourly,30,FT,Healthcare,,,,
Philadelphia,Good Karma,Barista,2018,Current,,9.5,Hourly,30,FT,None,,,,
Philadelphia,Rival Brothers,Assistant Manager,2018,2018,,12,Hourly,30,FT,None,,,,
Philadelphia,Cake Life,Barista,2017,2018,,9,Hourly,30,FT,None,,,,
Philadelphia,Passero's,Barista,2017,2018,,10,Hourly,30,FT,None,,,,
Philadelphia,Chapterhouse Cafe,Barista,2015,2019,,11,Hourly,30,PT,None,,,,
Philadelphia,Lucky Goat Coffee House,Barista,2019,2019,,9.5,Hourly,30,PT,None,,,,
Philadelphia,Milkcrate,Barista,2019,2019,,8,Hourly,30,PT,None,,,,
Philadelphia,Flannel,Barista,2019,Current,,12,Hourly,30,PT,None,,,,
Philadelphia,Joe Coffee,Barista,2016,2017,,10,Hourly,30,PT,None,,,,
Philadelphia,Capogiro,Shift Leader,2018,2019,,8,Hourly,30,FT,None,,,,
Philadelphia,Square One,Barista,2019,Current,,9,Hourly,30,PT,None,,,,
Philadelphia,Square One,Barista,2019,Current,,9,Hourly,30,PT,None,,,,
Philadelphia,Rival Brothers,Barista,2017,Current,,10,Hourly,30,PT,2 PTO Days,,,,
Philadelphia,Ultimo,Barista,2019,Current,,10.25,Hourly,30,FT,PTO after a year,,,,
Philadelphia,Ultimo,Coffee Quality Manager,2017,Current,,11.25,Hourly,30,FT,PTO,,,,
Philadelphia,Rival Brothers,Manager,2017,2018,,30000,Salary,30,FT,PTO (manager only),,,,
Philadelphia,Ultimo,Coffee Quality Manager,2018,Current,,10.75,Hourly,30,FT,PTO after a year,,,,
Philadelphia,Good Karma,Sandwich prep,2019,2019,,10,Hourly,30,FT,,,,,
Portland,Good Coffee,Barista,2019,Current,2,12.5,Hourly,30,FT,"Cafe offers one free bag of coffee every two weeks, one free cold brew every week. Always free coffee going in to cafe. Day-old pastries, discounted food otherwise. Purchase of first retail items at cost. Working in part with woodlark hotel, which offers PTO, health cafe, and 401k opportunities- limited but available. Hotel also offers discounted rooms. Good Coffee also offers similar benefits.",,,,
Portland,Nossa Familia Coffee,Barista,2018,2019,12,12,Hourly,30,FT,"health care, free coffee ",,Caucasian ,,
Portland,Coava Coffee Roasters,Barista,2017,2019,9,12.5,Hourly,30,FT,"PTO, health care, free coffee, discounted merch",,,,
Portland,Kainos,District Manager,2018,2019,8,29200,Salary,30,FT,Shift meals and free coffee,,,,
San Francisco,Barefoot Coffee Roasters,Barista,2016,2016,2,14,Hourly,30,PT,Absolutely none. Not even free beans or the encouragement to try pour overs of all coffee offerings.,,,,
San Francisco,CoRo Coffee Room,Barista,2018,Current,13,15.86,Hourly,30,PT,"health insurance, sick pay",,,,we include 12% gratuity on all tabs. no cash tips
San Francisco,Acre Coffee,Assistant Manager,2014,2016,0,14.5,Hourly,30,FT,None,,,,
San Francisco,Peet’s Coffee,Shift Leader,2016,2017,0,11,Hourly,30,PT,None,,,,
Seattle,Olympia Coffee,Lead Barista,2018,Current,3,13.5,Hourly,30,FT,"Health insurance, PTO",,,,
Seattle,Wayward Coffeehouse,Barista,2019,Current,2,13.5,Hourly,30,PT,legally required sick time is the only benefit at both,,,,
Seattle,Forza Coffee Company,Barista,2018,Current,2,12,Hourly,30,PT,None,,,,
Seattle,Metronome Coffee,Barista,2018,Current,2,13,Hourly,30,PT,None,,,,
Seattle,Broadcast Coffee,Shift Leader,2014,2015,2,13,Hourly,30,FT,None,,,,
"Washington, D.C.",Commonwealth Joe,Barista,2017,Current,,11.75,Hourly,30,FT,Health Insurance,Non-binary / non-comforming ,,LGBTQ+,
"Washington, D.C.",Commonwealth Joe Coffee Roasters,Barista,2018,Current,,10.7,Hourly,30,FT,Health insurance,,,,
"Washington, D.C.",Coffee Republic ,Barista,2019,Current,,9.5,Hourly,30,PT,None,,,,
Dallas Fort Worth,Aura Coffee,Barista,2019,Current,1.5,9,Hourly,32,PT,None,Transgender,,,
Michigan,Mighty Good Coffee,Barista,2018,2019,4,10.5,Hourly,32,FT,expensive health insurance,Non-binary / non-comforming ,Caucasian ,bisexual,
Michigan,Atomic Coffee,Supervisor,2017,2019,2,10.25,Hourly,32,FT,None,Non-binary / non-comforming ,Caucasian ,Queer,
Michigan,New Order Coffee Roasters,Lead Barista,2019,Current,2,13,Hourly,32,FT,PTO and health insurance,Non-binary / non-comforming ,Caucasian ,Queer,
New York,Aspen Coffee Company,Barista,2018,Current,1,7.25,Hourly,32,PT,Employee discount on products,Female,,Straight,
Philadelphia,Green Line,Barista,2019,Current,,8,Hourly,32,PT,None,,,,
Philadelphia,Function Coffee Labs,Barista,2019,Current,,11,Hourly,32,FT,None,,,,
San Francisco,Voyager Craft Coffee,Lead Barista,2019,Current,2,17,Hourly,32,PT,I think health&vision that's partially employer subsidized,,,,
Seattle,Hood Famous Cafe + Bar,Lead Barista,2019,Current,1,14/hour,Hourly,32,FT,"Health insurance for full time employees, time and a half for certain holidays. ",,,,
Seattle,Flying apron bakery,Barista,2018,2019,3,12,Hourly,32,PT,"Health insurance, vacation time for full time employees",,,,
Seattle,Craftwork Coffee Co,Graphic Designer,2018,,1.5,42000,Salary,32,FT,None,,,,Left for a salaried job
Seattle,Slate Coffee Roasters,Barista,2019,2019,5,13,Hourly,32.5,FT,Orca Card,,,,
Seattle,General Porpoise,Assistant Store Manager,2018,Current,8,17,Hourly,32.5,FT,"Paid time off, wellness reimbursement, pre-tax spending benefits, 401k match, health and dental insurance.",,,,
Austin,Intelligentsia,Barista,2019,Current,0,11.4,Hourly,33,FT,All of the above,,,,
Austin,Intelligentsia,Shift Leader,2019,Current,5,13.1,Hourly,33,FT,"Health, dental, vision, life/disability insurance, PTO, sick pay, 401k, free bag coffee per week",,,,
Chicago,Dollop,Barista,2019,Current,,11,Hourly,33,PT,None,,,,
Denver,Boxcar ,Shift Leader,2015,2019,1,14,Hourly,33,FT,"free coffee, 20% off pastries/merch",,,,
Philadelphia,Ultimo,Barista,2019,Current,,10.5,Hourly,33,FT,Supplemented health insurance,,,,
Chicago,Emerald City,Barista,2018,2019,,9,Hourly,34,PT,None,,,,
Philadelphia,Good Karma,Shift Leader,2016,Current,,11.5,Hourly,34,FT,None,,,,
"Washington, D.C.",Little Red Fox,Barista,2019,Current,,14,Hourly,34,FT,"Health, PTO ",,,,
Austin,West Pecan Coffee + Beer,Shift Supervisor,2018,Current,1,10,Hourly,35,FT,"Dental, Vision, Medline and Health insurance options (individual plans), 20% all purchases, one comped beverage per shift",,,,
Austin,Lark and Owl,Lead Barista,2019,Current,4,4,Hourly,35,FT,None,,,,
Austin,Intelligentsia,Shift Leader,2019,Current,20,11.4,Hourly,35,FT,"PTO after 6 months, health insurance after 90 days or so, 25% discount on goods, 1 free bag of coffee per week, sick days",,,,
Boston,La Colombe,Barista,2016,Current,2,13.75,Hourly,35,FT,Health Insurance ,,Black/African American,Queer,
Boston,La Colombe,Barista,2019,Current,0,12,Hourly,35,PT,None,Transgender,,,
Chicago,Pickwick,Shift Lead/Apprenctice Roaster,2015,,,12,Hourly,35,FT,None,,,,
Michigan,Madcap Coffee Company,Barista,2017,Current,0,11.5,Hourly,35,FT,"40 hrs PTO, health insurance (including dental and vision), matching HSA, gym membership to a local climbing gym",Female,Caucasian ,Straight,
Michigan,Madcap Coffee Company,Barista,2018,2019,2,12,Hourly,35,PT,Health insurance,,,,
New York,Partners Coffee,Barista,2018,Current,3.5,16,Hourly,35,FT,Managers have 10 sick days and part time trainers have 5. Can buy health insurance through company. They pay half. You pay about 250-300 a month. ,,,,
New York,Partners Coffee,Manager,2018,Current,3.5,21,Hourly,35,FT,Managers have 10 sick days and part time trainers have 5. Can buy health insurance through company. They pay half. You pay about 250-300 a month. ,,,,
New York,Partners Coffee,Shift Leader,2018,Current,3.5,18,Hourly,35,FT,Managers have 10 sick days and part time trainers have 5. Can buy health insurance through company. They pay half. You pay about 250-300 a month. ,,,,
New York,Astoria coffee,Shift Leader,2014,Current,0,15,Hourly,35,FT,None,,,,I work for a small company that has around 5-6 employees. No benefits and lack of upward mobility even after working for 5 years in specialty coffee
Philadelphia,Old City Coffee,Barista,N/A,2018,,42000,Salary,35,FT,"1/2 health care, 100% transportation fare, PTO, YTD vacation time, 401k",,,,
Philadelphia,Joe Coffee,Barista,2018,Current,,11,Hourly,35,FT,Health care,,,,
Philadelphia,Capogiro,Barista,2018,2018,,8,Hourly,35,PT,None,,,,
Philadelphia,Green Line,Barista,2017,2018,,9,Hourly,35,PT,None,,,,
Philadelphia,Uncle Bobby's Cafe & Bookstore,Barista,2019,Current,,10,Hourly,35,PT,None,,,,
Philadelphia,Cake Life,Barista,2018,Current,,10,Hourly,35,FT,None,,,,
Philadelphia,Cake Life,Barista,2017,Current,,10,Hourly,35,FT,None,,,,
Philadelphia,La Colombe,Barista,2018,Current,,9,Hourly,35,FT,None,,,,
Philadelphia,Ultimo,Barista,2019,Current,,10.25,Hourly,35,PT,,,,,
Portland,Posies,Barista,2019,Current,4,12.5,Hourly,35,PT,free drinks and pastries. flexible schedule,,,,
Portland,Coco Donuts ,Location Manager ,2019,2019,1,14,Hourly,35,FT,"Health care (which I was never told about), free shift drink, free shift donuts ",,,,
Portland,Upper Left Roasters,Barista,2018,2019,4,12.75,Hourly,35,FT,None,,,,
Portland,Water Avenue Coffee,Shift Leader,2017,Current,4,15,Hourly,35,FT,PTO/Health Benefits/free drinks (not beans)/food discounts (nothing is free)/50% off merch (including beans) and other local partner discounts ,,,,
San Francisco,Verve Coffee Roasters,Barista,2017,2018,0,14.5,Hourly,35,FT,"Health insurance, vacation time, PTO",,,,
San Francisco,Blue Bottle Coffee,Lead Barista,2016,Current,0,19.25,Hourly,35,FT,"PTO, sick hours",,,,
San Francisco,Coffee bar,Barista,2019,Current,1,14,Hourly,35,PT,,,,,
Seattle,Lift Bridge Coffee,Barista,2019,Current,1.5,12.35,Hourly,35,PT,"Competition fare covered, Consistent schedule, Discounted/Free food and drink",,,,
Seattle,Seattle Coffee Works,Barista,2011,2015,5,13,Hourly,35,FT,"Insurance , PTO",,,,
Seattle,Cupcake Royale,Barista,2015,2018,5,14,Hourly,35,FT,"Low end health insurance, 1hr sick time for every 50 worked ",,,,
Seattle,Top Pot Doughnuts,Shift Supervisor,2018,2019,0,13.5,Hourly,35,FT,"PTO, Health insurance, dental",,,,
Seattle,Slate Coffee Roasters,Shift Leader,2018,2019,6,19,Hourly,35,FT,"PTO, Stipend towards Health Insurance costs, ORCA Card",,,,
Seattle,Tartine Manufactory,Supervisor,2016,2019,3,20,Hourly,35,FT,Sick hours,,,,
Austin,Juan Pelota Cafe,Lead Barista,2017,2019,2,13,Hourly,36,FT,"Health Insurance, 40% discount on merchandise",,,,
Chicago,Dollop,Barista,2019,Current,,11,Hourly,36,FT,Medical/Dental,,,,
New York,Everyman Espresso,Barista,2015,,4,N/A,Hourly,36,FT,None,,,,N/A
Seattle,Caffe Umbria,Barista,2019,Current,0,12,Hourly,36,PT,Sick time,,,,
San Francisco,Blue Bottle Coffee,Lead Barista,2015,2019,2,18.5,Hourly,37,FT,"PTO, Sick Days, medical, dental, vision, 401K, HSA/FSA",,,,
"Greenville, NC",Methodical Coffee,Barista,2018,Current,,9,Hourly,37.5,,None,,,,
Michigan,The Sparrows,Barista,2018,Current,2,9.45,Hourly,37.5,PT,Company Discounts,,,,
Seattle,Metronome Coffee,Beverage Director,2018,Current,2,14,Hourly,37.5,FT,None,,,,
Boston,Pavement,Barista,2009,,4,12,Hourly,38,PT,,,,,
Austin,Lola Savannah ,Barista,2017,Current,0,10,Hourly,40,PT,Health insurance,,,,
Austin,Texas Coffee Traders ,Barista,2019,Current,5,12,Hourly,40,FT,"Health, dental, life, sick time, PTO, paid holidays, 401k",,,,
Austin,Greater Goods,Barista,2019,Current,5,11,Hourly,40,FT,Meals and health insurance,,,,
Austin,Tiny house coffee,Barista,2019,Current,4,8,Hourly,40,FT,Meals comped,,,,
Austin,Greater Goods,Barista,2019,Current,6,10,Hourly,40,FT,"meals, health insurance",,,,
Austin,Easy Tiger Cedar Park,Barista,2017,2019,0,8,Hourly,40,PT,None,,,,
Austin,Cartel,Supervisor,2019,Current,6,13,Hourly,40,FT,"PTO, health/vision/dental service, maternity/paternity leave ",,,,
Boston,Caffe Nero,Barista,2018,,0,13,Hourly,40,PT,"401k for those 21+, no other benefits for part-time staff.",,,,
Boston,George Howell Coffee,Cashier,2018,Current,3,14,Hourly,40,FT,"Free coffee, Health insurance if I apply for it",,,,
Boston,George Howell Coffee,Barista,2019,Current,4,13.5,Hourly,40,FT,Health insurance,,Black/African American,,
Boston,George Howell Coffee,Barista,2018,Current,9,16.5,Hourly,40,FT,"Health insurance. Vision, One dental cleaning.",,,,
Boston,Broadsheet,Barista,2019,Current,2,13,Hourly,40,FT,Health Insurance/dental,,,,
Chicago,Two Zero Three,Barista,2018,Current,,13.5,Hourly,40,FT,Medical/Dental/Vision/Pet care,,,,
Chicago,Big Shoulders,Barista,2019,Current,,13,Hourly,40,PT,None,,,,
Denver,Logan House Coffee Co,Barista,2019,Current,0,13,Hourly,40,PT,"Free coffee, health insurance for FT (after working FT for 90 days)",,,,
"Greenville, NC",Methodical Coffee,Barista,,,,9,Hourly,40,,None,,,,
"Greenville, NC",Methodical Coffee,Barista,,,,9,Hourly,40,,Pto after one year,,,,
"Greenville, NC",Methodical Coffee,Barista,2016,Current,,11.5,Hourly,40,,Some. We get paid vacation and “bonuses” through the Bonusly app,,,,
Michigan,Madcap Coffee Company,Shift Leader,2017,Current,4,11.75,Hourly,40,FT,"Madcap offers PTO (40 hours), health, and dental. ",,,,
Michigan,Copper House Coffee,Barista,2019,Current,0,11,Hourly,40,PT,None,,,,
Michigan,RoosRoast,Barista,2016,2019,0,11,Hourly,40,PT,PTO / Health Insurance,,,,
Michigan,Madcap Coffee Company,Barista,2019,Current,2,12,Hourly,40,FT,PTO and health insurance ,,,,
Michigan,Madcap Coffee Company,Lead Barista,2019,Current,3,12,Hourly,40,FT,PTO and health insurance ,Male,Caucasian ,Straight,
New York,Joe Coffee,Barista,2018,Current,3,12.5,Hourly,40,FT,metrocard,,,,
New York,Champion,Barista,2017,,20,15,Hourly,40,PT,None,,,,A lot of racist behavior with owner
New York,Evil Twin Brewing,Barista,2019,Current,3,15,Hourly,40,FT,None,Non-binary / non-comforming ,Caucasian ,,
New York,East One Coffee,Barista,2019,Current,2,16,Hourly,40,FT,Pto ,,,,It seems like $15/hr-$18/hr plus tips is about the norm in NYC
New York,Ralph's Coffee,Barista,2019,Current,2,17,Hourly,40,PT,,,,,
Philadelphia,Talula's Daily,Barista,2014,2018,,14.5,Hourly,40,FT,"After 1 year: 5 days PTO, Health, Vision & Dental",,,,
Philadelphia,Old City Coffee,Assistant Manager,2016,2017,,9.65,Hourly,40,FT,Health care,,,,
Philadelphia,Joe Coffee,Shift Leader,2013,2018,,13.25,Hourly,40,FT,Health care (at 25 hrs),,,,
Philadelphia,Spruce Street Espresso,Barista,2009,2011,,11,Hourly,40,FT,None,,,,
Philadelphia,Elixr,Barista,2012,2015,,13,Hourly,40,PT,None,,,,
Philadelphia,Old City Coffee,Barista,2017,2017,,10,Hourly,40,PT,None,,,,
Philadelphia,Bennas,Barista,2018,2018,,8,Hourly,40,PT,None,,,,
Philadelphia,High Point Cafe,Barista,2017,2018,,11,Hourly,40,PT,None,,,,
Philadelphia,Earth Cup Cafe,Barista,2018,Current,,10,Hourly,40,PT,None,,,,
Philadelphia,Ox Coffee,Barista,2018,Current,,10,Hourly,40,PT,None,,,,
Philadelphia,Philadelphia Java Company,Barista,2018,Current,,10.5,Hourly,40,PT,None,,,,
Philadelphia,Reanimator,Barista,2018,Current,,9.5,Hourly,40,PT,None,,,,
Philadelphia,Square One,Barista,2019,Current,,9.25,Hourly,40,PT,None,,,,
Philadelphia,Good Karma,Barista,2019,2019,,8,Hourly,40,PT,None,,,,
Philadelphia,Philadelphia Java Company,Barista,2018,2019,,10.5,Hourly,40,PT,None,,,,
Philadelphia,Good Karma,Barista,2019,Current,,8,Hourly,40,PT,None,,,,
Philadelphia,Rival Brothers,Barista,2019,Current,,10,Hourly,40,PT,Paid Sick Time,,,,
Philadelphia,Elixr,Barista,2016,Current,,11,Hourly,40,PT,PTO,,,,
Philadelphia,Elixr,Barista,2019,Current,,10.25,Hourly,40,PT,"PTO, commute, % of health-related costs",,,,
Philadelphia,Elixr,Barista,2018,Current,,11,Hourly,40,FT,Yes,,,,
Philadelphia,Federal Donuts,Cashier,2017,Current,,8,Hourly,40,FT,"Yes, as of recently",,,,
Portland,Water Avenue Coffee,Barista,2015,2016,6,11.25,Hourly,40,FT,"Free coffee, health care",,,,
Portland,Bread and Honey,Counter Server/ Barista,2018,2018,4,12,Hourly,40,PT,"Free coffee, shift meal",,,,
Portland,Jola Cafe,Barista,2018,2019,5,12.5,Hourly,40,FT,"free coffee, shift meal ",,,,
Portland,Either/Or,Coffee Trainer,2019,Current,7,13.75,Hourly,40,FT,"Free Coffee, Shift meal, Shift Bar Drink",,,,
